name,owner,url,totalPullRequests,closed,merged,processado
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,1046,259,785,True
react-native,facebook,https://github.com/facebook/react-native,12373,11401,681,True
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,1634,547,1078,True
LeetCodeAnimation,MisterBooo,https://github.com/MisterBooo/LeetCodeAnimation,75,11,63,True
advanced-java,doocs,https://github.com/doocs/advanced-java,114,39,75,True
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,5656,5578,42,True
mall,macrozheng,https://github.com/macrozheng/mall,105,99,0,True
elasticsearch,elastic,https://github.com/elastic/elasticsearch,63233,8106,54645,True
GitHub-Chinese-Top-Charts,GrowingGit,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,17,10,0,True
interviews,kdn251,https://github.com/kdn251/interviews,162,42,42,True
spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,4215,3273,760,True
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,3074,2075,994,True
guava,google,https://github.com/google/guava,1637,1158,372,True
RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,3774,643,3126,True
retrofit,square,https://github.com/square/retrofit,1169,331,803,True
ghidra,NationalSecurityAgency,https://github.com/NationalSecurityAgency/ghidra,1026,500,358,True
dubbo,apache,https://github.com/apache/dubbo,5940,1745,4150,True
MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,493,179,190,True
jeecg-boot,jeecgboot,https://github.com/jeecgboot/jeecg-boot,185,152,17,True
jadx,skylot,https://github.com/skylot/jadx,437,61,375,True
JCSprout,crossoverJie,https://github.com/crossoverJie/JCSprout,114,30,69,True
halo,halo-dev,https://github.com/halo-dev/halo,1325,187,1128,True
druid,alibaba,https://github.com/alibaba/druid,1320,161,1007,True
selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,2866,1538,1300,True
nacos,alibaba,https://github.com/alibaba/nacos,3264,925,2329,True
hutool,dromara,https://github.com/dromara/hutool,750,385,365,True
miaosha,qiurunze123,https://github.com/qiurunze123/miaosha,69,48,20,True
vhr,lenve,https://github.com/lenve/vhr,76,22,1,True
butterknife,JakeWharton,https://github.com/JakeWharton/butterknife,491,127,346,True
SpringAll,wuyouzhuguli,https://github.com/wuyouzhuguli/SpringAll,22,9,1,True
spring-boot-examples,ityouknow,https://github.com/ityouknow/spring-boot-examples,46,40,6,True
apollo,apolloconfig,https://github.com/apolloconfig/apollo,1613,276,1325,True
easyexcel,alibaba,https://github.com/alibaba/easyexcel,355,164,138,True
JCSprout,crossoverJie,https://github.com/crossoverJie/JCSprout,114,30,69,True
halo,halo-dev,https://github.com/halo-dev/halo,1325,187,1128,True
druid,alibaba,https://github.com/alibaba/druid,1320,161,1007,True
selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,2866,1538,1300,True
nacos,alibaba,https://github.com/alibaba/nacos,3264,925,2329,True
hutool,dromara,https://github.com/dromara/hutool,750,385,365,True
miaosha,qiurunze123,https://github.com/qiurunze123/miaosha,69,48,20,True
libgdx,libgdx,https://github.com/libgdx/libgdx,3489,916,2495,True
termux-app,termux,https://github.com/termux/termux-app,305,129,136,True
RxAndroid,ReactiveX,https://github.com/ReactiveX/RxAndroid,238,61,177,True
eladmin,elunez,https://github.com/elunez/eladmin,160,78,76,True
rocketmq,apache,https://github.com/apache/rocketmq,3237,1193,1792,True
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,130,54,56,True
PhotoView,Baseflow,https://github.com/Baseflow/PhotoView,153,85,54,True
mybatis-3,mybatis,https://github.com/mybatis/mybatis-3,1613,458,1091,True
HikariCP,brettwooldridge,https://github.com/brettwooldridge/HikariCP,396,125,216,True
litemall,linlinjava,https://github.com/linlinjava/litemall,173,69,102,True
SmartRefreshLayout,scwang90,https://github.com/scwang90/SmartRefreshLayout,27,14,12,True
xxl-job,xuxueli,https://github.com/xuxueli/xxl-job,427,199,97,True
seata,seata,https://github.com/seata/seata,2313,489,1715,True
Signal-Android,signalapp,https://github.com/signalapp/Signal-Android,2668,2424,238,True
NewPipe,TeamNewPipe,https://github.com/TeamNewPipe/NewPipe,1948,487,1411,True
Hystrix,Netflix,https://github.com/Netflix/Hystrix,805,81,672,True
gson,google,https://github.com/google/gson,786,217,461,True
Telegram,DrKLO,https://github.com/DrKLO/Telegram,594,341,20,True
leetcode,doocs,https://github.com/doocs/leetcode,937,87,850,True
skywalking,apache,https://github.com/apache/skywalking,4671,595,4075,True
libgdx,libgdx,https://github.com/libgdx/libgdx,3489,916,2495,True
flink,apache,https://github.com/apache/flink,22435,13918,7508,True
termux-app,termux,https://github.com/termux/termux-app,305,129,136,True
redisson,redisson,https://github.com/redisson/redisson,552,189,325,True
Sentinel,alibaba,https://github.com/alibaba/Sentinel,971,332,459,True
bazel,bazelbuild,https://github.com/bazelbuild/bazel,6404,5749,489,True
jenkins,jenkinsci,https://github.com/jenkinsci/jenkins,7825,1805,5962,True
ExoPlayer,google,https://github.com/google/ExoPlayer,1177,594,548,True
RxAndroid,ReactiveX,https://github.com/ReactiveX/RxAndroid,238,61,177,True
eladmin,elunez,https://github.com/elunez/eladmin,160,78,76,True
platform_frameworks_base,aosp-mirror,https://github.com/aosp-mirror/platform_frameworks_base,126,120,1,True
tech-interview-for-developer,gyoogle,https://github.com/gyoogle/tech-interview-for-developer,127,7,120,True
MVPArms,JessYanCoding,https://github.com/JessYanCoding/MVPArms,72,39,33,True
javapoet,square,https://github.com/square/javapoet,547,149,344,True
mall-swarm,macrozheng,https://github.com/macrozheng/mall-swarm,23,15,0,True
SmartTubeNext,yuliskov,https://github.com/yuliskov/SmartTubeNext,786,88,697,True
android-interview-questions,amitshekhariitbhu,https://github.com/amitshekhariitbhu/android-interview-questions,95,4,71,True
glide-transformations,wasabeef,https://github.com/wasabeef/glide-transformations,46,7,34,True
Fragmentation,YoKeyword,https://github.com/YoKeyword/Fragmentation,43,10,31,True
yudao-cloud,YunaiV,https://github.com/YunaiV/yudao-cloud,35,28,7,True
cat,dianping,https://github.com/dianping/cat,1068,161,895,True
Mindustry,Anuken,https://github.com/Anuken/Mindustry,4726,1658,2909,True
SpringCloudLearning,forezp,https://github.com/forezp/SpringCloudLearning,13,4,0,True
fresco,facebook,https://github.com/facebook/fresco,419,319,83,True
Android-Universal-Image-Loader,nostra13,https://github.com/nostra13/Android-Universal-Image-Loader,152,98,51,True
tinker,Tencent,https://github.com/Tencent/tinker,153,67,72,True
SpringBoot-Labs,yudaocode,https://github.com/yudaocode/SpringBoot-Labs,29,12,3,True
zheng,shuzheng,https://github.com/shuzheng/zheng,135,83,10,True
java8-tutorial,winterbe,https://github.com/winterbe/java8-tutorial,47,36,10,True
openapi-generator,OpenAPITools,https://github.com/OpenAPITools/openapi-generator,8647,1313,6906,True
Apktool,iBotPeaches,https://github.com/iBotPeaches/Apktool,383,103,277,True
zipkin,openzipkin,https://github.com/openzipkin/zipkin,2185,470,1690,True
disruptor,LMAX-Exchange,https://github.com/LMAX-Exchange/disruptor,157,49,108,True
keycloak,keycloak,https://github.com/keycloak/keycloak,11253,1717,9333,True
jdk,openjdk,https://github.com/openjdk/jdk,13551,13243,3,True
springboot-learning-example,JeffLi1993,https://github.com/JeffLi1993/springboot-learning-example,65,20,6,True
Android-CleanArchitecture,android10,https://github.com/android10/Android-CleanArchitecture,58,28,14,True
APIJSON,Tencent,https://github.com/Tencent/APIJSON,120,4,108,True
SpringBoot-Learning,dyc87112,https://github.com/dyc87112/SpringBoot-Learning,39,7,1,True
elasticsearch-analysis-ik,medcl,https://github.com/medcl/elasticsearch-analysis-ik,105,37,51,True
material-components-android,material-components,https://github.com/material-components/material-components-android,542,483,13,True
JustAuth,justauth,https://github.com/justauth/JustAuth,68,10,58,True
Algorithms,williamfiset,https://github.com/williamfiset/Algorithms,203,95,67,True
presto,prestodb,https://github.com/prestodb/presto,14102,4425,9309,True
mybatis-plus,baomidou,https://github.com/baomidou/mybatis-plus,724,343,365,True
CircleImageView,hdodenhof,https://github.com/hdodenhof/CircleImageView,58,43,14,True
antlr4,antlr,https://github.com/antlr/antlr4,1938,408,1429,True
VirtualXposed,android-hacker,https://github.com/android-hacker/VirtualXposed,70,26,40,True
ARouter,alibaba,https://github.com/alibaba/ARouter,151,63,79,True
QMUI_Android,Tencent,https://github.com/Tencent/QMUI_Android,39,17,21,True
mockito,mockito,https://github.com/mockito/mockito,1492,291,1192,True
BigData-Notes,heibaiying,https://github.com/heibaiying/BigData-Notes,39,19,7,True
bytecode-viewer,Konloch,https://github.com/Konloch/bytecode-viewer,139,28,108,True
thingsboard,thingsboard,https://github.com/thingsboard/thingsboard,3506,744,2713,True
logger,orhanobut,https://github.com/orhanobut/logger,62,22,29,True
Material-Animations,lgvalle,https://github.com/lgvalle/Material-Animations,24,7,12,True
